Age,Family size and dependents,Income,Monthly expenses,Existing investments and assets,Debt obligations,Financial goals,Risk tolerance level,Predicted Investment Return,Investment Category
61.0,5.0,162661.0,4314.0,250270.0,409144.0,vacation,high,0.02811169319756654,real estate
42.0,2.0,55235.0,2514.0,55406.0,21274.0,vacation,high,0.06723398731623367,bonds
66.0,6.0,30159.0,4289.0,844089.0,129994.0,buying a house,low,0.0901538816233035,stocks
44.0,2.0,173217.0,2943.0,77560.0,296560.0,education,low,0.04910650201730988,real estate
59.0,6.0,192993.0,1411.0,526394.0,217220.0,retirement,medium,0.11714172284257307,real estate
45.0,6.0,134859.0,3713.0,638431.0,192070.0,buying a house,medium,0.1260674372458208,real estate
,3.0,177309.0,2864.0,530112.0,362578.0,retirement,high,0.048541420415110614,stocks
32.0,5.0,137507.0,4129.0,154575.0,243768.0,,medium,0.12579857317386856,mutual funds
64.0,1.0,169316.0,3972.0,64943.0,422263.0,vacation,medium,0.015536484915452252,mutual funds
68.0,1.0,44743.0,1180.0,85839.0,436572.0,buying a house,high,0.12565936479339845,real estate
61.0,4.0,76101.0,1109.0,616962.0,168206.0,vacation,high,0.02291256475014249,real estate
69.0,6.0,151534.0,2656.0,559633.0,460258.0,buying a house,high,0.012439072876458906,mutual funds
20.0,1.0,114227.0,4366.0,259495.0,313454.0,retirement,,0.09626631066615168,mutual funds
54.0,3.0,101126.0,871.0,60390.0,342902.0,vacation,low,0.07079060486329415,bonds
68.0,6.0,86071.0,1115.0,760401.0,143435.0,retirement,high,0.1361835900619249,real estate
24.0,3.0,104763.0,2753.0,331701.0,478365.0,buying a house,high,0.05447837941362738,mutual funds
38.0,1.0,173309.0,4638.0,992558.0,437779.0,education,medium,0.0430728395156443,bonds
26.0,1.0,176721.0,1364.0,11906.0,292772.0,vacation,medium,0.07511023592162976,stocks
56.0,4.0,198785.0,1768.0,967671.0,69672.0,vacation,medium,0.0683919278652992,real estate
35.0,1.0,76154.0,1284.0,542249.0,,retirement,low,0.051664206932578234,mutual funds
21.0,6.0,37016.0,4678.0,167212.0,404377.0,retirement,high,0.10406119480474928,
42.0,6.0,119678.0,2737.0,,494209.0,,high,0.11393427508708624,
31.0,6.0,142056.0,4554.0,199773.0,89110.0,vacation,low,0.1279475953545205,mutual funds
67.0,4.0,84238.0,1435.0,349711.0,485654.0,buying a house,high,0.14592849070655142,stocks
26.0,4.0,88608.0,4480.0,352808.0,264954.0,buying a house,medium,0.03999842881987567,stocks
,1.0,119081.0,2838.0,91199.0,190932.0,vacation,low,0.10741402237349422,bonds
19.0,2.0,192969.0,,795216.0,208271.0,vacation,high,0.059138735324361785,stocks
37.0,2.0,80961.0,2034.0,109764.0,71688.0,vacation,low,0.10156229579266621,stocks
,4.0,56917.0,3980.0,132357.0,327692.0,education,low,0.07139725355238305,stocks
64.0,1.0,183808.0,4361.0,352873.0,193435.0,,high,0.14906596541518974,stocks
24.0,2.0,57990.0,2485.0,431777.0,273306.0,buying a house,medium,0.10933532036861249,stocks
61.0,1.0,92551.0,3278.0,322712.0,350002.0,retirement,high,0.14287369506514866,stocks
25.0,1.0,183512.0,1770.0,,73535.0,retirement,,0.12524543242217787,stocks
64.0,1.0,196277.0,1140.0,869734.0,400435.0,vacation,medium,0.13543515167450565,mutual funds
52.0,5.0,110811.0,4578.0,629256.0,70864.0,retirement,high,0.12216287958220123,stocks
31.0,6.0,,1867.0,170576.0,134693.0,education,high,0.0688738695563867,mutual funds
34.0,1.0,,,912548.0,118371.0,buying a house,high,0.03776826800203265,real estate
53.0,5.0,49008.0,3075.0,833578.0,89792.0,buying a house,low,0.05554802631757833,bonds
67.0,4.0,62402.0,4103.0,574585.0,175505.0,retirement,low,0.003035434895992567,stocks
57.0,2.0,166865.0,2081.0,620682.0,470066.0,,low,0.07859897511970007,bonds
21.0,6.0,166643.0,,923605.0,257416.0,,high,0.0757586700405613,stocks
19.0,2.0,177281.0,2740.0,922374.0,,vacation,medium,0.07878756972457322,mutual funds
23.0,6.0,143550.0,4466.0,,186023.0,education,low,0.14610468374580957,stocks
59.0,2.0,121218.0,2605.0,26939.0,343862.0,buying a house,medium,0.1367181005182259,real estate
21.0,6.0,163296.0,628.0,453931.0,238188.0,education,high,0.0242569167495162,bonds
46.0,2.0,150779.0,4496.0,316604.0,36558.0,buying a house,low,0.05533237823338338,bonds
35.0,2.0,159714.0,1351.0,994080.0,128938.0,education,high,0.06359342691948928,real estate
43.0,2.0,62441.0,4603.0,209294.0,146731.0,retirement,medium,0.054079937677747165,mutual funds
61.0,2.0,92368.0,2576.0,940170.0,296557.0,education,low,0.11977439454058696,mutual funds
51.0,4.0,122122.0,3494.0,72119.0,272579.0,,low,0.07860565048013804,real estate
27.0,1.0,,4244.0,700681.0,250272.0,retirement,low,0.08581497254574376,bonds
53.0,3.0,53478.0,3256.0,929283.0,447127.0,buying a house,low,0.12795203384818882,stocks
31.0,5.0,157881.0,2144.0,154258.0,,,medium,0.12088922301230379,mutual funds
48.0,3.0,101854.0,4871.0,419675.0,87794.0,retirement,low,0.019831728423044953,stocks
65.0,3.0,124230.0,3644.0,228827.0,355967.0,education,high,0.10708718761254514,bonds
,6.0,115716.0,742.0,277201.0,331368.0,education,low,,stocks
25.0,1.0,173252.0,4585.0,988167.0,466441.0,education,medium,0.04419733545937507,real estate
31.0,6.0,128538.0,670.0,159805.0,1379.0,,low,0.007502823135327952,mutual funds
40.0,1.0,45372.0,1152.0,815589.0,364691.0,buying a house,medium,0.07308743405181764,mutual funds
57.0,1.0,59796.0,4012.0,831462.0,108541.0,education,medium,0.053315502108679705,real estate
38.0,2.0,128826.0,1999.0,160685.0,420840.0,buying a house,high,0.03772695595146012,real estate
33.0,,150592.0,2599.0,642900.0,484716.0,education,low,0.10420075943954363,mutual funds
62.0,2.0,,2658.0,387224.0,219499.0,retirement,low,0.11542280809733804,mutual funds
35.0,4.0,141022.0,2472.0,879460.0,114634.0,retirement,low,0.03671842785441372,mutual funds
64.0,6.0,84040.0,4425.0,489498.0,253579.0,buying a house,high,0.007417115501902088,bonds
41.0,4.0,105357.0,2758.0,146260.0,390845.0,buying a house,high,0.12731290508478524,bonds
43.0,6.0,108356.0,4539.0,248178.0,319889.0,retirement,medium,0.0014939611806454977,bonds
42.0,3.0,46211.0,2535.0,269418.0,445021.0,vacation,medium,0.1405668740882208,stocks
62.0,3.0,135426.0,3771.0,,103915.0,retirement,medium,0.09414298109740589,bonds
58.0,4.0,35842.0,1357.0,244433.0,405732.0,education,high,0.04827699528019804,mutual funds
46.0,4.0,96852.0,4323.0,,210494.0,vacation,,0.03697168643651043,bonds
32.0,6.0,155737.0,1549.0,374446.0,216915.0,retirement,high,0.0013508496396712865,mutual funds
62.0,2.0,75968.0,4490.0,477616.0,129560.0,vacation,,0.03532071255163157,real estate
18.0,6.0,47508.0,798.0,,155915.0,vacation,high,0.020659245227571166,stocks
42.0,2.0,183077.0,1423.0,570733.0,136984.0,vacation,medium,0.09182493310847184,stocks
24.0,3.0,84575.0,4732.0,540084.0,152586.0,buying a house,medium,0.024981838289070194,real estate
26.0,1.0,,4806.0,843650.0,218431.0,retirement,low,0.0792944756304929,mutual funds
41.0,4.0,186671.0,3299.0,704491.0,188104.0,buying a house,low,0.08851746335167061,stocks
18.0,2.0,96914.0,4562.0,411339.0,422013.0,buying a house,low,0.044706254752037176,bonds
61.0,6.0,97055.0,4545.0,673582.0,137521.0,education,medium,0.005259742352807806,mutual funds
25.0,3.0,117697.0,2302.0,820506.0,132797.0,education,low,0.005588082092129415,stocks
41.0,2.0,136239.0,3213.0,912520.0,343550.0,vacation,low,0.00395209982908764,real estate
28.0,6.0,153106.0,3353.0,433041.0,9304.0,vacation,low,0.11086870007048193,mutual funds
68.0,4.0,35355.0,3157.0,833271.0,466274.0,education,high,0.047701455722144716,stocks
34.0,4.0,84120.0,3846.0,903544.0,125555.0,education,medium,0.11944502789514953,real estate
25.0,5.0,68342.0,1971.0,923946.0,406879.0,retirement,low,0.06475992357642738,mutual funds
52.0,1.0,32257.0,3449.0,602610.0,332464.0,,high,0.06794971512449458,bonds
52.0,5.0,57364.0,1441.0,852753.0,468224.0,vacation,high,0.07693239037643605,mutual funds
50.0,3.0,186044.0,2407.0,764534.0,94488.0,education,,0.10695471845626559,bonds
22.0,2.0,141715.0,1743.0,644388.0,258490.0,retirement,low,0.04102542987445606,
59.0,3.0,56654.0,4923.0,533321.0,337735.0,education,high,0.018238102430029036,real estate
,6.0,111423.0,1966.0,429204.0,357188.0,education,medium,0.08340860027871923,bonds
58.0,4.0,59320.0,,831939.0,143748.0,buying a house,high,0.04904664348641089,bonds
45.0,5.0,50808.0,2466.0,109244.0,287336.0,,high,0.06637369705020561,mutual funds
24.0,5.0,82389.0,875.0,501860.0,261602.0,retirement,high,0.09704200625059581,
26.0,5.0,148581.0,762.0,397932.0,417938.0,buying a house,high,0.07411886117119058,bonds
25.0,3.0,157927.0,4862.0,367395.0,138518.0,vacation,medium,0.09304182256512643,
29.0,4.0,64773.0,3888.0,820238.0,381448.0,education,low,0.08163000031704418,real estate
51.0,,188819.0,3895.0,140364.0,397941.0,retirement,medium,0.11096945579041487,mutual funds
50.0,6.0,106396.0,2444.0,833333.0,216669.0,vacation,medium,0.105890492656743,mutual funds
65.0,2.0,137692.0,2393.0,420259.0,88207.0,education,low,0.08012848377129288,bonds
40.0,3.0,87505.0,4134.0,478977.0,188704.0,buying a house,high,0.10183545312895603,stocks
41.0,6.0,115896.0,2152.0,412968.0,198017.0,retirement,low,0.1310339403408919,real estate
54.0,5.0,48135.0,4641.0,210065.0,73741.0,vacation,low,0.06484069316822529,bonds
52.0,1.0,120887.0,4392.0,707976.0,16365.0,buying a house,medium,0.061914460912319044,bonds
61.0,3.0,152118.0,1099.0,62127.0,327936.0,education,,0.11463684312785702,
57.0,3.0,77377.0,2412.0,796885.0,195929.0,education,high,0.08738307555629911,real estate
39.0,4.0,184626.0,1792.0,871864.0,247481.0,vacation,medium,0.010651017033388282,stocks
44.0,2.0,92491.0,1100.0,919304.0,146776.0,education,high,0.1338168023536622,real estate
52.0,3.0,88283.0,880.0,621650.0,312719.0,retirement,medium,0.00461746533564602,real estate
18.0,3.0,46923.0,4713.0,283120.0,160974.0,vacation,high,0.11225945343146146,stocks
52.0,5.0,77591.0,4137.0,648464.0,381785.0,buying a house,,0.11381912140564693,real estate
54.0,5.0,92261.0,2663.0,109122.0,232366.0,vacation,low,0.14296666279228956,mutual funds
64.0,6.0,,4855.0,342548.0,394411.0,vacation,low,0.008120161260348114,real estate
31.0,1.0,104083.0,1598.0,354076.0,250319.0,buying a house,high,0.08952852911767364,bonds
20.0,4.0,90948.0,865.0,631458.0,315661.0,,medium,0.06417608559405794,real estate
18.0,1.0,194074.0,3070.0,349851.0,34012.0,buying a house,medium,0.0495949432289313,bonds
22.0,6.0,56672.0,3919.0,492863.0,142487.0,retirement,medium,0.013547784044860955,real estate
,5.0,34213.0,2976.0,961192.0,432750.0,education,low,0.08439811795069638,bonds
,2.0,171365.0,1290.0,227912.0,21686.0,vacation,high,0.07185610885119205,bonds
56.0,5.0,92507.0,4069.0,782466.0,208270.0,education,medium,0.01568316872265364,bonds
44.0,4.0,87134.0,,245851.0,159815.0,education,high,0.0918734260645625,stocks
26.0,5.0,163172.0,812.0,365933.0,32161.0,retirement,medium,0.11069296803794076,real estate
32.0,4.0,58172.0,1420.0,630804.0,454529.0,education,low,0.11509174515804724,real estate
32.0,4.0,50132.0,,929521.0,247066.0,education,high,0.1358059782393641,mutual funds
43.0,4.0,48199.0,3329.0,542245.0,239689.0,education,medium,0.06142061128331658,mutual funds
59.0,6.0,66609.0,2881.0,517750.0,264546.0,vacation,medium,0.14296091529332053,mutual funds
,4.0,169088.0,4118.0,,63190.0,education,medium,0.1298144107624029,real estate
68.0,4.0,61881.0,1297.0,408008.0,246256.0,buying a house,medium,0.04447523565359086,stocks
49.0,2.0,54472.0,4943.0,,445767.0,education,low,0.02389245560241877,bonds
56.0,1.0,197093.0,772.0,285381.0,275419.0,retirement,,0.065308409419202,
66.0,3.0,84131.0,3510.0,848018.0,159254.0,education,medium,0.06028480619339499,stocks
69.0,1.0,185159.0,2273.0,815684.0,14915.0,education,low,0.08635789579968065,stocks
49.0,4.0,42828.0,3047.0,413923.0,263053.0,vacation,medium,0.0875079348491622,real estate
21.0,,126664.0,3664.0,699566.0,376254.0,buying a house,high,0.11249804765699628,bonds
47.0,5.0,162473.0,1446.0,537831.0,65908.0,education,high,0.07648349223084153,stocks
54.0,2.0,45193.0,3165.0,709495.0,127337.0,buying a house,medium,0.015723396141114832,real estate
40.0,4.0,181379.0,1006.0,257541.0,,retirement,low,0.12874370033296592,bonds
56.0,2.0,132518.0,743.0,638935.0,34112.0,vacation,,0.04646468747777806,mutual funds
62.0,2.0,49611.0,1005.0,569319.0,205123.0,buying a house,low,0.1456946190459888,stocks
32.0,4.0,173022.0,3658.0,184001.0,2431.0,vacation,medium,,stocks
60.0,6.0,106240.0,4090.0,337891.0,86590.0,education,medium,0.14373767583487548,real estate
46.0,,32745.0,2372.0,461067.0,324319.0,retirement,high,0.013651771032377547,real estate
53.0,,,,327455.0,117472.0,vacation,low,0.034655420692058916,bonds
30.0,3.0,33866.0,1692.0,515329.0,294768.0,education,medium,0.006986991312981239,mutual funds
49.0,2.0,193317.0,4925.0,,207193.0,buying a house,medium,0.10576697199584924,mutual funds
24.0,6.0,,1964.0,75867.0,61264.0,retirement,medium,0.12754481048576877,real estate
68.0,5.0,101354.0,890.0,98780.0,375910.0,retirement,low,0.06511066227239706,real estate
39.0,4.0,81374.0,4976.0,67196.0,163030.0,,low,0.13927831125636445,bonds
45.0,3.0,144397.0,3877.0,607993.0,394911.0,buying a house,high,0.08854486076333994,real estate
19.0,5.0,154577.0,1172.0,854326.0,362355.0,retirement,low,0.09450107031697848,bonds
59.0,2.0,191188.0,3060.0,884072.0,119502.0,vacation,medium,0.12681288025511547,bonds
62.0,5.0,111029.0,1711.0,510653.0,443148.0,retirement,high,0.04452003075777584,mutual funds
23.0,1.0,123574.0,1429.0,286735.0,230395.0,buying a house,low,0.053139858199143866,bonds
45.0,3.0,181519.0,2039.0,631535.0,306369.0,vacation,low,0.13589278787919665,mutual funds
45.0,2.0,60431.0,1412.0,714253.0,132475.0,education,low,0.13514452440581456,mutual funds
61.0,4.0,178980.0,1143.0,10727.0,476562.0,retirement,low,0.14647241643013062,mutual funds
61.0,6.0,59336.0,1001.0,948863.0,205463.0,buying a house,medium,0.13527574746625065,real estate
37.0,2.0,70992.0,1229.0,53822.0,169708.0,education,low,0.019105805405004134,mutual funds
47.0,4.0,85350.0,1783.0,375543.0,272983.0,retirement,medium,0.12355864292054809,bonds
28.0,6.0,99561.0,2618.0,122113.0,458762.0,retirement,medium,0.06147577171643911,real estate
45.0,,81955.0,4886.0,229606.0,235706.0,vacation,medium,0.14862020339189067,bonds
42.0,2.0,91240.0,4336.0,402575.0,178901.0,buying a house,high,0.07084214464932016,real estate
56.0,5.0,181165.0,1419.0,938433.0,140302.0,education,medium,0.08307541237533309,bonds
50.0,5.0,167227.0,4550.0,400732.0,51977.0,retirement,low,0.07946623728851977,stocks
18.0,6.0,76607.0,2839.0,594379.0,433448.0,vacation,high,0.04826055447874167,stocks
44.0,5.0,194559.0,1255.0,483594.0,375194.0,,low,0.011253313333937726,stocks
69.0,1.0,182035.0,2369.0,164591.0,494523.0,education,medium,0.13434768456028778,bonds
30.0,6.0,82870.0,,420609.0,225864.0,retirement,low,0.12040137187894302,real estate
58.0,6.0,94110.0,1007.0,961822.0,25651.0,education,high,,mutual funds
20.0,4.0,182008.0,1936.0,215603.0,97919.0,retirement,high,0.11651524070251093,
56.0,,,3075.0,890624.0,302107.0,vacation,low,,bonds
23.0,6.0,34426.0,3926.0,189006.0,186944.0,vacation,low,0.06137156818764334,bonds
25.0,1.0,57606.0,1058.0,382949.0,117776.0,education,low,0.03810317236433441,bonds
44.0,4.0,58151.0,3602.0,169912.0,341342.0,retirement,high,0.12895931752533488,bonds
26.0,2.0,41308.0,4122.0,914521.0,144811.0,buying a house,,0.10502823889410795,mutual funds
54.0,6.0,120306.0,4899.0,623655.0,130697.0,vacation,low,,real estate
50.0,1.0,136984.0,4557.0,23265.0,325438.0,retirement,medium,0.09143528008476962,mutual funds
68.0,3.0,32204.0,4215.0,408640.0,179428.0,retirement,high,0.013659927312327147,bonds
59.0,1.0,122769.0,1801.0,423841.0,1789.0,retirement,low,0.07108796413667878,stocks
61.0,1.0,117265.0,2655.0,613910.0,412636.0,education,low,0.029055043917855298,mutual funds
41.0,4.0,61131.0,1192.0,694547.0,351441.0,buying a house,high,0.031257551851323805,stocks
32.0,2.0,82428.0,,308073.0,236974.0,education,,0.09919559434303,stocks
49.0,3.0,63870.0,1978.0,,261413.0,vacation,medium,0.1366884227751432,bonds
49.0,,133547.0,756.0,685899.0,,education,high,0.060563491571751976,mutual funds
41.0,5.0,79067.0,2930.0,328774.0,431856.0,retirement,high,0.031162390951828555,real estate
58.0,1.0,142217.0,941.0,231711.0,380485.0,education,low,0.09731204058549812,mutual funds
69.0,4.0,182679.0,2381.0,496626.0,44135.0,retirement,high,0.13067805695254767,real estate
66.0,4.0,186040.0,3146.0,,37067.0,buying a house,low,0.11224782016837362,real estate
66.0,5.0,128934.0,4320.0,180457.0,451636.0,education,low,0.13031358458048806,bonds
69.0,3.0,172980.0,2235.0,665313.0,279501.0,education,high,0.0804832006516199,real estate
29.0,2.0,187495.0,4235.0,621868.0,170923.0,education,low,0.11278143665537863,mutual funds
,3.0,104707.0,3145.0,349606.0,300406.0,retirement,medium,0.02100968390384047,mutual funds
19.0,,91215.0,518.0,,207925.0,retirement,medium,0.05224119230447872,stocks
20.0,6.0,79429.0,1624.0,369181.0,320787.0,education,low,0.058432374672228365,real estate
66.0,2.0,112152.0,4485.0,105310.0,414750.0,education,medium,0.07669436193690518,
54.0,5.0,138048.0,3154.0,166080.0,353414.0,buying a house,low,0.13936145403852354,
66.0,2.0,199530.0,,321072.0,,buying a house,medium,0.13114448403332613,mutual funds
34.0,4.0,168731.0,2047.0,748456.0,163944.0,vacation,high,0.02017882384337768,real estate
66.0,6.0,107240.0,1361.0,99876.0,498953.0,buying a house,low,0.02591844778236948,bonds
19.0,1.0,193865.0,654.0,559264.0,400905.0,buying a house,low,,
19.0,1.0,143688.0,3994.0,779302.0,69103.0,,low,0.043611579883601086,real estate
45.0,5.0,76473.0,1404.0,397128.0,348412.0,retirement,low,0.09221564297343934,stocks
40.0,4.0,126762.0,1769.0,692986.0,86310.0,buying a house,low,0.13541640716468173,bonds
54.0,3.0,136956.0,904.0,370400.0,481947.0,buying a house,low,0.144343731250888,stocks
49.0,4.0,148452.0,1343.0,372681.0,37412.0,education,high,0.09804044288028398,bonds
50.0,1.0,156311.0,,200861.0,309878.0,retirement,high,0.125723880210163,real estate
18.0,1.0,37006.0,2064.0,932204.0,349937.0,vacation,medium,0.07878033003461957,bonds
36.0,6.0,104218.0,1684.0,643619.0,201002.0,vacation,low,0.031249042029005955,mutual funds
19.0,4.0,,1246.0,729005.0,495054.0,,medium,0.07870326181402161,real estate
61.0,4.0,62430.0,2225.0,261666.0,22228.0,vacation,medium,0.08326239021564766,bonds
43.0,1.0,53091.0,3688.0,279670.0,120627.0,vacation,high,0.11136863463203349,stocks
,3.0,194055.0,770.0,638151.0,340068.0,vacation,medium,0.03298244845610236,stocks
23.0,5.0,53989.0,4456.0,967004.0,11319.0,buying a house,high,,real estate
49.0,5.0,105451.0,671.0,209121.0,6475.0,vacation,medium,0.05460412038218494,stocks
21.0,4.0,48990.0,773.0,345510.0,228163.0,buying a house,low,0.14391593936117472,real estate
28.0,5.0,120270.0,2806.0,,476910.0,education,medium,0.06659174404900783,real estate
34.0,1.0,110360.0,1658.0,66096.0,145800.0,education,high,0.11326409509472196,real estate
55.0,1.0,66081.0,2206.0,673270.0,,vacation,high,0.11262170720616585,bonds
41.0,4.0,172105.0,2271.0,867617.0,291689.0,education,high,0.03983162772048621,real estate
22.0,4.0,138272.0,921.0,60248.0,358780.0,buying a house,medium,0.08578045340575981,stocks
69.0,6.0,46241.0,1709.0,215728.0,474902.0,education,medium,0.13414543399779721,mutual funds
51.0,4.0,154932.0,1390.0,929455.0,491966.0,vacation,high,0.07127965791854242,bonds
23.0,3.0,35939.0,3767.0,992716.0,229484.0,buying a house,,0.1417676261013819,stocks
39.0,5.0,,1973.0,89888.0,192828.0,retirement,,0.032168734398624235,real estate
28.0,,65063.0,3743.0,216354.0,199847.0,buying a house,medium,0.01112386586610461,real estate
65.0,2.0,188117.0,4978.0,250346.0,431915.0,education,medium,0.1337180809717124,mutual funds
33.0,6.0,77118.0,2681.0,628821.0,430037.0,retirement,high,0.12715217969433248,stocks
50.0,2.0,114703.0,1949.0,51954.0,292759.0,buying a house,medium,0.1488884813900767,bonds
26.0,1.0,182697.0,3596.0,361863.0,275890.0,retirement,medium,0.1019090232168639,stocks
23.0,5.0,158557.0,3756.0,674164.0,479673.0,retirement,high,0.14050318900007241,real estate
33.0,4.0,57076.0,3656.0,758065.0,153817.0,retirement,high,0.12404235376261662,bonds
46.0,2.0,74605.0,2090.0,272739.0,263389.0,buying a house,medium,0.12666394996801303,real estate
20.0,5.0,114565.0,4739.0,301736.0,117408.0,education,,0.08537123556814023,real estate
37.0,1.0,69121.0,4481.0,574931.0,112143.0,buying a house,medium,0.05735468968750662,stocks
53.0,3.0,61433.0,1935.0,264793.0,418069.0,education,low,0.14018371088149226,mutual funds
36.0,6.0,73309.0,723.0,334809.0,289776.0,buying a house,low,0.06481757634238416,real estate
43.0,5.0,97468.0,719.0,948327.0,275000.0,buying a house,low,0.08082290508745035,stocks
20.0,5.0,97293.0,4774.0,278116.0,,buying a house,high,0.06691714606877816,bonds
36.0,3.0,126258.0,2154.0,288026.0,463857.0,education,high,0.08472274709402956,mutual funds
37.0,5.0,198925.0,764.0,731754.0,232298.0,buying a house,high,0.07057576184884908,real estate
49.0,1.0,68405.0,1453.0,474271.0,68049.0,retirement,medium,0.007195133786921382,real estate
24.0,1.0,73527.0,4233.0,689129.0,320326.0,buying a house,,0.1323072279011548,bonds
69.0,,107227.0,3274.0,559308.0,396017.0,retirement,high,0.06665907283736547,
58.0,6.0,161564.0,3624.0,,228953.0,vacation,medium,0.0883415472761023,real estate
50.0,4.0,169883.0,979.0,374765.0,210503.0,vacation,medium,0.020878170413698053,bonds
57.0,2.0,123344.0,4014.0,881806.0,170821.0,education,low,0.0005081771973958704,real estate
56.0,4.0,185344.0,1853.0,54912.0,204829.0,education,,0.03679351404654644,stocks
35.0,5.0,77153.0,3822.0,22879.0,317798.0,vacation,medium,0.10568790482000254,mutual funds
57.0,2.0,138042.0,4378.0,568086.0,202646.0,buying a house,high,0.014879179516931788,
18.0,,84110.0,1389.0,642079.0,490783.0,buying a house,low,0.13633311605797016,
28.0,3.0,175051.0,4354.0,493042.0,317525.0,buying a house,low,0.03225338540342768,stocks
45.0,6.0,58328.0,1424.0,711433.0,,vacation,medium,0.03068904214376637,bonds
42.0,2.0,142911.0,,347935.0,146154.0,retirement,high,0.02722619424322433,real estate
67.0,1.0,42867.0,2402.0,863415.0,145720.0,education,high,0.0020972569457047116,mutual funds
40.0,2.0,89234.0,2895.0,970509.0,262508.0,retirement,high,0.11577082027173519,bonds
,5.0,55851.0,528.0,497947.0,165640.0,vacation,high,0.13125517968678876,stocks
47.0,,,534.0,668210.0,472862.0,,,0.09212440539242983,mutual funds
59.0,3.0,103402.0,4089.0,169472.0,464710.0,buying a house,high,0.028229997251979343,stocks
,2.0,45449.0,3170.0,808385.0,205704.0,buying a house,low,0.04279169954113196,stocks
24.0,4.0,106221.0,3865.0,640698.0,269580.0,retirement,low,0.0713890046047445,stocks
33.0,6.0,119080.0,1088.0,659443.0,348857.0,vacation,medium,,mutual funds
43.0,4.0,35451.0,3718.0,164607.0,419970.0,retirement,high,0.03710270577266142,real estate
,6.0,117178.0,3638.0,740896.0,322338.0,buying a house,high,0.1097468855879832,stocks
69.0,5.0,93761.0,1403.0,478255.0,24544.0,buying a house,high,0.06591723349393805,real estate
66.0,,68870.0,4586.0,262712.0,453396.0,vacation,high,0.044677102254003266,mutual funds
19.0,2.0,126566.0,2669.0,877461.0,63295.0,retirement,medium,0.06838739055331707,mutual funds
18.0,2.0,153749.0,839.0,14055.0,405854.0,buying a house,high,0.01068100763118488,stocks
65.0,4.0,153765.0,4770.0,,196787.0,buying a house,medium,0.11980310563955436,real estate
29.0,2.0,154881.0,2214.0,239016.0,69409.0,retirement,high,0.03649528919744507,real estate
22.0,5.0,191945.0,1056.0,772945.0,249720.0,retirement,high,0.10881181847894557,stocks
54.0,1.0,158389.0,3587.0,896408.0,476322.0,education,low,0.010252255717229208,bonds
49.0,5.0,55372.0,3766.0,300395.0,126839.0,,medium,0.1432647834248529,bonds
26.0,6.0,33642.0,4067.0,932036.0,375903.0,,low,0.02895224781085479,mutual funds
